Na,Cl,Water,Fe,Cu
7.15597434,2.79751947,4.33605226,18.26857818,19.63473812
7.22914967,2.80196645,4.29666943,18.30706166,19.43861417
7.3186921,2.80709858,4.26815918,18.36841394,19.26772796
7.42146687,2.80963327,4.25114814,18.43927442,19.12898381
7.52942562,2.80727979,4.24646068,18.50657534,19.02106044
7.63370444,2.7995703,4.25409135,18.5546133,18.94501629
7.72390745,2.78802977,4.27374847,18.57279341,18.89568431
7.79302758,2.77535381,4.30632676,18.55469538,18.86928653
7.83322338,2.76568474,4.35313531,18.50314641,18.86196783
7.84108379,2.76363066,4.41666948,18.42752172,18.8722739
7.81762475,2.773683,4.49900426,18.3463756,18.90162997
7.76655569,2.80021369,4.60417802,18.27866859,18.95402556
7.69434443,2.84627204,4.73136685,18.24476901,19.0306517
7.60746766,2.91307371,4.87619832,18.25676215,19.13065177
7.51159489,2.99829994,5.02733305,18.31677438,19.24183107
7.4065437,3.09939529,5.17320726,18.41675069,19.34716617
7.29255796,3.2082213,5.29468422,18.53735936,19.41886758
7.16788373,3.31488427,5.37510547,18.65444547,19.42843999
7.03307574,3.40701535,5.40293281,18.75076131,19.35248191
6.88677673,3.47465597,5.3754484,18.81435368,19.18093799
6.73447749,3.50578861,5.29791201,18.848871,18.91458419
6.58229313,3.49198821,5.18370308,18.86622985,18.57890088
6.43817663,3.42985474,5.0515423,18.88351273,18.19877162
6.30445004,3.31918459,4.91557967,18.91254879,17.81346829
6.18580169,3.16735445,4.79037197,18.95262673,17.45865642
6.08307881,2.98666066,4.68363648,18.98907751,17.1492629
5.99628095,2.79480805,4.5984227,18.99363844,16.90156335
5.92212552,2.60407237,4.53131504,18.93394217,16.7094186
5.86025377,2.43054341,4.4796985,18.7845688,16.56804981
5.80994324,2.28398091,4.4398476,18.52949271,16.46207872
5.77133707,2.16990356,4.40930865,18.17913739,16.38134696
5.7435206,2.08575654,4.38604387,17.74840131,16.31404039
5.72634272,2.02945398,4.36997985,17.27363716,16.25419772
5.71826359,1.99614605,4.36102168,16.79568077,16.1986461
5.71665267,1.9811522,4.35870771,16.33576703,16.14472399
5.71800149,1.980375,4.36168002,15.92501752,16.09293469
5.71848954,1.99129904,4.36758385,15.56686099,16.04127986
5.71461804,2.01184915,4.3729691,15.27182468,15.98870419
5.70416176,2.03970553,4.37364418,15.03107403,15.93045389
5.68624043,2.07300466,4.36504253,14.84154705,15.86211451
5.6621635,2.10830949,4.34252436,14.69605167,15.77926264
5.63479951,2.14176922,4.30192503,14.58184693,15.67550712
5.60812099,2.16899767,4.24067916,14.49088273,15.54999497
5.58498784,2.18669548,4.15547272,14.41082696,15.39952182
5.56769781,2.1915011,4.04635751,14.33445373,15.2291697
5.55598897,2.1817127,3.91473011,14.2544529,15.03988151
5.54718005,2.15755101,3.76553092,14.17158874,14.84164265
5.53636544,2.11998013,3.60068563,14.08897388,14.63738786
5.51804037,2.07194921,3.42796945,14.01767991,14.43601983
5.4872603,2.01709207,3.25437641,13.97185318,14.24533008
5.44171421,1.95999632,3.08855181,13.96491702,14.06573722
5.38059882,1.90338622,2.93345689,14.00825177,13.9036701
5.30762095,1.85142708,2.79643523,14.1076407,13.75735239
5.22871083,1.80721845,2.68230542,14.2569365,13.63063178
5.15201858,1.77364938,2.59632979,14.44521293,13.5216884
5.08340022,1.75216609,2.54180693,14.64669805,13.43398962
5.03008951,1.7449209,2.52661385,14.83909308,13.36788544
4.99666177,1.75323929,2.56053259,14.9951931,13.32775598
4.98559268,1.77759616,2.65580127,15.09678311,13.31818283
4.99721882,1.81862756,2.83164299,15.14091455,13.34462173
5.03082119,1.87540604,3.1072133,15.13549993,13.41238428
5.08429342,1.9460229,3.50137001,15.10118783,13.52764648
5.1537651,2.02632732,4.02071875,15.06520574,13.68959501
5.23660623,2.11323092,4.67593595,15.05204941,13.89755329
5.32690079,2.19972437,5.44336051,15.07822685,14.13844186
5.41809572,2.27847412,6.28094153,15.14435605,14.38964653
5.50177633,2.34119511,7.11561649,15.23771367,14.62939304
5.57169782,2.38209176,7.88418854,15.33035709,14.82252111
5.61949574,2.39502457,8.4920852,15.39202785,14.94361344
5.63947938,2.37740063,8.86370967,15.39171294,14.96791155
5.62900313,2.3307005,8.9493141,15.3080069,14.8846915
5.5882305,2.25822353,8.73599075,15.13406113,14.69804222
5.52066445,2.16734856,8.24541016,14.87080975,14.41952512
5.43229685,2.06662516,7.53565647,14.53484582,14.07576501
5.33148771,1.96562223,6.69593809,14.15195088,13.70050572
5.22343805,1.86937284,5.79497873,13.7374177,13.31469052
5.1155568,1.78380512,4.91958088,13.32070008,12.9493816
5.01278429,1.71116986,4.12960981,12.91046082,12.61296223
